education,n,percent
Post Graduate,85,0.5821917808219178
Graduate,43,0.2945205479452055
PhD,10,0.0684931506849315
12th std,5,0.03424657534246575
M Phil,1,0.00684931506849315
MPhil,1,0.00684931506849315
Under Graduate,1,0.00684931506849315
