respondent_id,age_group,occupation,region_type,education,income_band,formal_menstrual_education,awareness_cup_infection,awareness_pad_health_risk,awareness_reusable_underwear_risk,awareness_pantiliner_risk,self_reported_information_sufficiency,comfort_importance,cost_importance,availability_importance,health_risk_importance,leakage_protection_importance,durability_importance,reusability_importance,variants_importance,brand_importance,quality_importance,sustainability_importance,affordability_importance,primary_product,satisfaction,usage_duration,uses_alternatives,changed_product_5y,future_switch_intention,discussion_comfort,cultural_influence,cultural_taboos,social_stigma,awareness_score,awareness_category
R120,18-25,Student,Rural,Post Graduate,<= 200000,Somewhat,No,Yes,No,No,Not sure,5,5,4,5,5,5,1,5,5,5,5,4,Sanitary pad,3,Less than 1 year,Sometimes,No,Yes,Sometimes,2,Maybe,Maybe,0.3,Low
R121,18-25,Student,Rural,Graduate,400000 - 600000,No,No,Yes,No,No,No,1,1,4,3,3,2,2,3,3,3,3,3,Sanitary pad,3,1-3 years,No,No,Maybe,Yes,3,No,No,0.2,Low
R122,18-25,Student,Urban,Post Graduate,200000 - 400000,No,Yes,Yes,Yes,Yes,Not sure,5,3,3,3,5,3,3,5,3,4,3,5,Menstrual cup,2,1-3 years,Sometimes,Yes,No,Sometimes,5,No,No,0.9,High
R123,18-25,Student,Urban,PhD,600000 -1000000,No,Yes,No,Yes,No,No,5,3,5,5,5,5,4,4,5,5,5,5,Sanitary pad,3,More than 5 years,No,No,No,Sometimes,4,Maybe,Maybe,0.4,Low
R124,18-25,Student,Urban,Post Graduate,<= 200000,Yes,No,Yes,Yes,Yes,Yes,5,5,5,5,5,5,1,5,5,5,5,5,Sanitary pad,1,More than 5 years,No,No,Yes,Sometimes,5,No,No,0.8,High
R125,26-35,Self-employed,Suburban,PhD,400000 - 600000,No,Yes,No,No,No,Not sure,5,4,5,5,5,5,4,4,4,5,4,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Yes,4,No,No,0.3,Low
R126,46 and above,Employed,Urban,Post Graduate,600000 -1000000,Somewhat,Yes,No,Yes,Yes,Not sure,4,2,1,1,3,2,5,1,5,5,1,5,Sanitary pad,2,More than 5 years,No,No,No,Sometimes,4,Yes,No,0.7,Moderate
R127,18-25,Student,Urban,12th std,>= 1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,1,5,5,5,5,5,Sanitary pad,5,More than 5 years,No,No,Maybe,Yes,5,No,No,1.0,High
R128,18-25,Student,Urban,Post Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Yes,5,3,4,4,4,5,2,4,4,4,3,5,Sanitary pad,4,More than 5 years,No,No,Maybe,Yes,4,No,No,1.0,High
R129,46 and above,Homemaker,Rural,Graduate,<= 200000,No,No,Yes,No,No,No,4,5,5,3,3,5,5,3,1,4,3,5,NA,4,More than 5 years,Sometimes,No,Maybe,Yes,2,Yes,Maybe,0.2,Low
R130,18-25,Student,Urban,Graduate,200000 - 400000,Yes,No,No,No,No,Not sure,5,4,4,5,5,5,3,4,4,5,5,5,Sanitary pad,2,More than 5 years,No,No,Yes,Sometimes,3,Yes,No,0.1,Low
R131,18-25,Student,Urban,Post Graduate,400000 - 600000,Somewhat,Yes,Yes,Yes,No,Not sure,4,3,3,4,5,5,3,5,4,5,3,5,Sanitary pad,1,More than 5 years,No,No,No,Sometimes,4,No,No,0.7,Moderate
R132,18-25,Student,Urban,Post Graduate,400000 - 600000,Somewhat,Yes,Yes,No,Yes,Yes,5,5,4,5,5,5,2,3,4,5,4,5,Sanitary pad,4,More than 5 years,No,No,Maybe,Yes,5,No,No,0.8,High
R133,18-25,Student,Suburban,Graduate,400000 - 600000,Somewhat,Yes,Yes,No,No,Not sure,4,3,3,5,5,4,3,4,4,5,4,5,Sanitary pad,3,More than 5 years,Sometimes,No,Maybe,Yes,5,No,No,0.5,Moderate
R134,18-25,Student,Urban,Post Graduate,>= 1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,1,5,1,5,3,5,Sanitary pad,3,More than 5 years,No,No,No,Yes,5,No,No,1.0,High
R135,18-25,Employed,Urban,Graduate,<= 200000,Yes,Yes,Yes,Yes,No,Yes,5,4,1,3,3,1,1,1,2,2,4,4,Sanitary pad,3,1-3 years,Yes,Yes,No,No,2,Yes,Yes,0.8,High
R136,26-35,Self-employed,Urban,Post Graduate,<= 200000,Yes,Yes,Yes,Yes,Yes,Yes,4,1,5,5,5,5,1,4,3,5,5,3,Sanitary pad,1,More than 5 years,Yes,No,Maybe,Yes,5,No,No,1.0,High
R137,18-25,Student,Urban,Post Graduate,200000 - 400000,Yes,No,Yes,No,Yes,Yes,5,5,5,5,5,5,3,5,5,5,5,5,Sanitary pad,5,More than 5 years,Yes,No,Maybe,Sometimes,1,No,No,0.6,Moderate
R138,18-25,Student,Urban,Graduate,400000 - 600000,No,Yes,Yes,No,No,No,5,4,5,4,2,2,2,4,4,5,3,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Yes,2,No,No,0.4,Low
R139,18-25,Employed,Urban,Graduate,200000 - 400000,No,Yes,Yes,No,No,Not sure,5,3,4,5,5,5,4,5,5,5,5,5,Sanitary pad,2,More than 5 years,Sometimes,No,Maybe,Yes,2,No,No,0.5,Moderate
R140,26-35,Employed,Urban,12th std,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Yes,5,1,5,5,5,5,5,5,5,5,5,5,Sanitary pad,1,More than 5 years,No,No,No,Yes,5,No,No,1.0,High
R141,18-25,Employed,Urban,Graduate,200000 - 400000,Yes,Yes,Yes,Yes,Yes,Yes,5,3,5,5,5,5,3,5,5,5,5,5,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,1,Yes,No,1.0,High
R142,18-25,Student,Urban,12th std,>= 1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,4,More than 5 years,No,No,No,Yes,4,Yes,No,1.0,High
R143,18-25,Student,Urban,Post Graduate,600000 -1000000,Yes,Yes,Yes,Yes,Yes,Not sure,5,4,4,5,4,4,3,4,4,5,4,5,Sanitary pad,2,More than 5 years,Yes,No,Maybe,Yes,5,Yes,Maybe,0.9,High
R144,18-25,Student,Urban,Post Graduate,400000 - 600000,Yes,Yes,Yes,Yes,No,Not sure,5,4,4,4,4,4,4,4,4,3,4,3,Menstrual cup,4,1-3 years,No,No,No,No,4,Maybe,Maybe,0.7,Moderate
R145,18-25,Student,Suburban,Graduate,200000 - 400000,Yes,Yes,No,Yes,No,Not sure,5,4,5,5,5,5,1,3,3,5,4,5,Sanitary pad,2,More than 5 years,No,No,Yes,Yes,1,No,Maybe,0.5,Moderate
R146,18-25,Employed,Urban,Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,3,3,3,1,5,5,5,5,3,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,1,No,No,1.0,High
