respondent_id,age_group,occupation,region_type,education,income_band,formal_menstrual_education,awareness_cup_infection,awareness_pad_health_risk,awareness_reusable_underwear_risk,awareness_pantiliner_risk,self_reported_information_sufficiency,comfort_importance,cost_importance,availability_importance,health_risk_importance,leakage_protection_importance,durability_importance,reusability_importance,variants_importance,brand_importance,quality_importance,sustainability_importance,affordability_importance,primary_product,satisfaction,usage_duration,uses_alternatives,changed_product_5y,future_switch_intention,discussion_comfort,cultural_influence,cultural_taboos,social_stigma,awareness_score,awareness_category
R036,18-25,Student,Urban,Post Graduate,200000 - 400000,Yes,Yes,Yes,Yes,Yes,Yes,5,4,4,5,5,4,4,5,5,5,5,4,Sanitary pad,5,More than 5 years,No,No,Yes,Yes,5,No,No,1.0,High
R037,18-25,Student,Urban,Post Graduate,>= 1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,3,5,5,5,5,1,4,4,4,3,5,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,3,Maybe,No,1.0,High
R038,18-25,Student,Urban,Post Graduate,600000 -1000000,Yes,Yes,Yes,Yes,No,Yes,4,4,5,5,5,5,5,5,5,5,5,5,Sanitary pad,4,More than 5 years,Sometimes,No,Maybe,Yes,5,No,No,0.8,High
R039,18-25,Student,Urban,Post Graduate,>= 1000000,Somewhat,Yes,Yes,Yes,Yes,Not sure,4,4,4,5,5,5,3,4,5,5,4,5,Sanitary pad,4,More than 5 years,No,No,Maybe,Sometimes,3,No,No,0.9,High
R040,18-25,Student,Rural,Post Graduate,400000 - 600000,Yes,Yes,Yes,Yes,Yes,Not sure,5,4,4,5,4,4,4,4,4,4,4,4,Sanitary pad,4,More than 5 years,No,No,Maybe,Yes,4,No,No,0.9,High
R041,18-25,Student,Suburban,Post Graduate,600000 -1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,5,5,5,5,5,5,Sanitary pad,1,More than 5 years,No,No,No,Yes,1,No,No,1.0,High
R042,18-25,Student,Rural,Graduate,200000 - 400000,Somewhat,Yes,Yes,Yes,No,Not sure,4,4,4,4,5,4,3,4,4,4,4,5,Sanitary pad,2,More than 5 years,No,No,Maybe,Yes,3,Yes,Yes,0.7,Moderate
R043,18-25,Student,Rural,Post Graduate,600000 -1000000,Yes,Yes,No,Yes,Yes,No,5,5,5,3,5,3,1,4,3,5,3,5,Sanitary pad,2,More than 5 years,No,No,Maybe,Yes,3,No,No,0.6,Moderate
R044,18-25,Student,Urban,Post Graduate,600000 -1000000,Somewhat,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5,2,4,5,5,4,5,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,5,No,No,1.0,High
R045,18-25,Student,Urban,Post Graduate,>= 1000000,Somewhat,Yes,Yes,No,No,Not sure,5,5,5,5,5,4,1,4,3,5,4,5,Sanitary pad,3,More than 5 years,No,No,Maybe,Yes,5,No,Yes,0.5,Moderate
R046,18-25,Student,Urban,Post Graduate,600000 -1000000,Yes,Yes,No,Yes,No,Yes,5,3,3,5,5,5,3,5,5,5,3,5,Sanitary pad,1,More than 5 years,No,No,Maybe,Yes,5,No,No,0.6,Moderate
R047,18-25,Student,Urban,Post Graduate,400000 - 600000,Somewhat,Yes,Yes,Yes,No,Yes,5,4,4,4,5,5,4,4,4,5,4,5,Sanitary pad,4,More than 5 years,Sometimes,No,Maybe,Sometimes,5,Maybe,Maybe,0.8,High
R048,18-25,Student,Suburban,Post Graduate,600000 -1000000,Yes,Yes,Yes,No,Yes,Yes,5,2,5,3,4,4,5,3,5,5,5,5,Menstrual cup,5,1-3 years,Yes,Yes,Maybe,Yes,5,No,Maybe,0.8,High
R049,18-25,Student,Urban,Post Graduate,600000 -1000000,No,Yes,Yes,Yes,Yes,Not sure,5,4,4,5,5,5,1,1,4,5,3,5,Sanitary pad,5,3-5 years,No,No,Maybe,Yes,5,No,No,0.9,High
R050,18-25,Student,Suburban,Post Graduate,400000 - 600000,Yes,No,Yes,Yes,Yes,Yes,5,4,4,4,4,4,3,4,4,5,5,5,Sanitary pad,2,More than 5 years,No,No,Maybe,Yes,2,No,No,0.8,High
R051,18-25,Student,Urban,Graduate,>= 1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,3,5,5,5,5,3,5,5,5,5,5,Sanitary pad,2,More than 5 years,Yes,No,Maybe,Yes,3,No,No,1.0,High
R052,18-25,Student,Suburban,Post Graduate,>= 1000000,Yes,Yes,Yes,Yes,Yes,Yes,5,4,5,5,5,5,5,5,5,5,3,5,Sanitary pad,1,More than 5 years,No,No,No,Yes,5,No,No,1.0,High
R053,18-25,Student,Urban,Post Graduate,<= 200000,Yes,Yes,Yes,Yes,No,Yes,4,4,5,4,5,4,3,4,5,4,3,5,Sanitary pad,3,More than 5 years,No,No,Yes,Yes,5,Yes,Maybe,0.8,High
