formal_menstrual_education,n,mean_awareness,sd_awareness,median_awareness
No,45,0.6511111111111111,0.2974300698729812,0.7
Somewhat,36,0.6861111111111111,0.27166447559735757,0.7
Yes,65,0.8092307692307692,0.22341320806626797,0.9
