term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.09855629258385476,1.7179592735293208,-1.3487673610408606,0.17741170140888268,0.0020648581058913345,2.239353290348836
satisfaction,0.9654122877014996,0.1824514553459021,-0.19292818287733524,0.8470152129120124,0.6704927886504404,1.3805458008184044
uses_alternativesSometimes,3.3887858885908813,0.5606849706665693,2.1767512527288515,0.029499131961956523,1.1271184431398389,10.398095336310867
uses_alternativesYes,7.760912897857885,0.7158517097393613,2.862464307724448,0.004203606031848503,1.929713720181746,33.30037066224811
cultural_influence,1.141571627055781,0.1891714523538591,0.6999255519735281,0.48397379903578763,0.7975386113111299,1.6889864773898413
discussion_comfortSometimes,0.9053168815180761,1.4987110334862406,-0.06637053376030362,0.947082829113525,0.06086357212974997,29.941765892416548
discussion_comfortYes,0.8938395682237844,1.383216326377786,-0.08113624142557348,0.9353336041965276,0.07710938994790742,25.11208915822926
cultural_taboosNo,0.3910323729931122,0.6623113023726278,-1.4177093516019117,0.15627563870292857,0.10788606529069128,1.5014639572502393
cultural_taboosYes,1.064621893961179,0.7148828863328531,0.08759435730852289,0.9301990871568113,0.2584212134540104,4.420864917996906
social_stigmaNo,1.3468147186937267,0.6990691520413932,0.4259125667562799,0.6701715574944305,0.35740885848382475,5.664372340514276
social_stigmaYes,0.8602963050841711,0.9533613960939891,-0.15783983796292791,0.8745830059570806,0.11686967975906831,5.349424838335756
formal_menstrual_educationSomewhat,0.6931463508060597,0.7229210527842463,-0.5069905161187522,0.612161472983068,0.1535804076629824,2.7743466209341348
formal_menstrual_educationYes,1.7524259212498037,0.5672020235816684,0.9890674669361478,0.3226301335866959,0.5928629341130826,5.61396961916012
